code, expirydate, # trades, amount, delta, bidticksize, askticksize, bidfutunit, askfutunit
KR4301H72622, 20130712, 10, 9, -0.646903, 0.100000, 0.100000, -0.154583, -0.154583
KR4301H72655, 20130712, 13, 9, -0.684886, 0.100000, 0.950000, -0.146010, -1.387092
KR4301H72671, 20130712, 13, 9, -0.731866, 0.150000, 0.100000, -0.204956, -0.136637
KR4301H72705, 20130712, 13, 9, -0.771425, 0.150000, 0.950000, -0.194445, -1.231487
KR4301H92356, 20130913, 285, 28, -0.263798, 0.050000, 0.050000, -0.189539, -0.189539
KR4301H92406, 20130913, 195, 4, -0.314881, 0.050000, 0.100000, -0.158790, -0.317580
KR4301H92455, 20130913, 302, 8, -0.351863, 0.050000, 0.050000, -0.142101, -0.142101
KR4301H92505, 20130913, 369, 6, -0.431896, 0.100000, 0.050000, -0.231537, -0.115769
KR4301H92554, 20130913, 366, 6, -0.480168, 0.100000, 0.050000, -0.208260, -0.104130
KR4301H92604, 20130913, 403, 8, -0.548603, 0.100000, 0.050000, -0.182281, -0.091141
KR4301H92653, 20130913, 237, 19, -0.639433, 1.150000, 1.000000, -1.798468, -1.563886
KR4301H92703, 20130913, 13, 9, -0.689776, 0.150000, 0.950000, -0.217462, -1.377259
KR4301H92752, 20130913, 10, 9, -0.740251, 0.200000, 0.950000, -0.270179, -1.283348
KR4301H92802, 20130913, 83, 15, -0.813489, 0.100000, 0.050000, -0.122927, -0.061464
KR4401H6H9S8, 20130614, 1, 80, 1.000000, 0.050000, 0.050000, 0.050000, 0.050000
