65,ask3totalvalidnum,9,4,
66,ask4totalvalidnum,9,4,
67,ask5totalvalidnum,9,4,
68,eot,9,1,%Hff
0,KrxFuturesEnd,,,
1,datatype,9,2,A6
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,endpricesign,9,1,
7,endprice,9,5,* 거래무 종목의 경우 기준가 set; 예) 999.99
8,endpricecode,9,1,1:체결가격; 3:거래무 2:기세 -2012.05.14 삭제
9,accumtradequantity,9,7,
10,accumtradeamount,9,12,단위:천원; 자릿수 변경(11->12) - 2011.05.23
11,bidtotalquantity,9,6,
12,bid1sign,9,1,
13,bid1price,9,5,예) 999.99
14,bid1quantity,9,6,
15,bid2sign,9,1,
16,bid2price,9,5,예) 999.99
17,bid2quantity,9,6,
18,bid3sign,9,1,
19,bid3price,9,5,예) 999.99
20,bid3quantity,9,6,
21,bid4sign,9,1,
22,bid4price,9,5,예) 999.99
23,bid4quantity,9,6,
24,bid5sign,9,1,
25,bid5price,9,5,예) 999.99
26,bid5quantity,9,6,
27,asktotalquantity,9,6,
28,ask1sign,9,1,
29,ask1price,9,5,예) 999.99
30,ask1quantity,9,6,
31,ask2sign,9,1,
32,ask2price,9,5,예) 999.99
33,ask2quantity,9,6,
34,ask3sign,9,1,
35,ask3price,9,5,예) 999.99
36,ask3quantity,9,6,
37,ask4sign,9,1,
38,ask4price,9,5,예) 999.99
39,ask4quantity,9,6,
40,ask5sign,9,1,
41,ask5price,9,5,예) 999.99
42,ask5quantity,9,6,
43,bidtotalvalidnum,9,5,예) 999.99
44,bid1totalvalidnum,9,4,
45,bid2totalvalidnum,9,4,
46,bid3totalvalidnum,9,4,
47,bid4totalvalidnum,9,4,
48,bid5totalvalidnum,9,4,
49,asktotalvalidnum,9,5,
50,ask1totalvalidnum,9,4,
51,ask2totalvalidnum,9,4,
52,ask3totalvalidnum,9,4,
53,ask4totalvalidnum,9,4,
54,ask5totalvalidnum,9,4,
55,eot,9,1,%Hff
0,KrxFuturesMarketManage,,,
1,datatype,9,2,A7
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,timestamp,9,8,
5,marketmanagecode,9,3,
6,stockid,9,10,
7,krcode,X,12,
8,seq,9,2,
9,marketstatecode,9,2,*호가가 처리된 장상태 00 : 초기(장개시전) 10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가 40 : 접속 80 : 단위매매체결(주식관련상품) 90 : 거래정지 99 : 장종료
10,bidaskexistyn,9,1,0:호가없음; 1:호가있음
11,bidtotalquantity,9,6,
12,bid1sign,9,1,
13,bid1price,9,5,예) 999.99
14,bid1quantity,9,6,
15,bid2sign,9,1,
16,bid2price,9,5,예) 999.99
17,bid2quantity,9,6,
18,bid3sign,9,1,
19,bid3price,9,5,예) 999.99
20,bid3quantity,9,6,
21,bid4sign,9,1,
22,bid4price,9,5,예) 999.99
23,bid4quantity,9,6,
24,bid5sign,9,1,
25,bid5price,9,5,예) 999.99
26,bid5quantity,9,6,
27,asktotalquantity,9,6,
28,ask1sign,9,1,
29,ask1price,9,5,예) 999.99
30,ask1quantity,9,6,
31,ask2sign,9,1,
32,ask2price,9,5,예) 999.99
33,ask2quantity,9,6,
34,ask3sign,9,1,
35,ask3price,9,5,예) 999.99
36,ask3quantity,9,6,
37,ask4sign,9,1,
38,ask4price,9,5,예) 999.99
39,ask4quantity,9,6,
40,ask5sign,9,1,
41,ask5price,9,5,예) 999.99
42,ask5quantity,9,6,
43,bidtotalvalidnum,9,5,
44,bid1totalvalidnum,9,4,
45,bid2totalvalidnum,9,4,
46,bid3totalvalidnum,9,4,
47,bid4totalvalidnum,9,4,
48,bid5totalvalidnum,9,4,
49,asktotalvalidnum,9,5,
50,ask1totalvalidnum,9,4,
51,ask2totalvalidnum,9,4,
52,ask3totalvalidnum,9,4,
53,ask4totalvalidnum,9,4,
54,ask5totalvalidnum,9,4,
55,eot,9,1,%Hff
0,KrxFuturesSpace,,,
1,datatype,9,2,G9
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,eot,9,1,%Hff
0,KrxFuturesDistribute,,,
1,datatype,9,2,O6
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,distribute_startorend,9,1,1:배분개시; 2:배분해제
7,distributetype,9,1,1:매수상한; 2:매수하한; 3:매도상한; 4:매도하한
8,distributeendtime,9,8,
9,eot,9,1,%Hff
0,KrxFuturesInvestorData,,,
1,datatype,9,2,H1
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,createdate,9,8,
5,createtime,9,6,
6,investordatatype,9,2,*전일확정 : 00; 당일잠정 : 01; 당일확정 : 02 *E1 : 장중 데이터 완료; E2 : 확정 데이터 완료 최종 record '99' set
7,stockid,9,10,
8,investortype,9,4,*코드 '7000'시 수량;대금정보항목 0으로 전송
9,bidsettledquantity,9,9,
10,asksettledquantity,9,9,
11,bidsettledamount,9,18,
12,asksettledamount,9,18,
13,bidspreadedquantity,9,9,
14,askspreadedquantity,9,9,
15,bidspreadedamount,9,18,
16,askspreadedamount,9,18,
17,eot,9,1,%Hff
0,KrxFuturesUnsettled,,,
1,datatype,9,2,H2
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,최종 record '999999999999' set
5,seq,9,2,
6,unsettledtype,9,2,"전일 확정 : ""M0"" (07:40분경 제공) 당일 잠정 : ""M1"" (장중 특정간격으로 변동종목송신; 10초) 당일 확정 : ""M2"" (당일 전종목 송신;장종료 1시간후 제공)"
7,tradedate,9,8,
8,unsettledamount,9,9,단위:계약
9,eot,9,1,%Hff
0,KrxFuturesSettled,,,
1,datatype,9,2,H3
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,최종 record '999999999999' set
5,seq,9,2,
6,settledprice,9,16,예) 99999999.99999999 
7,settledpricetype,9,1,0 : 정산가 없음(최초 거래성립전 기세 포함) 1 : 당일 종가(실세) 2 : 당일 기세(최초 거래성립후 기세) - 2010.12.20 삭제 3 : 전일 정산가(최초 거래성립후 종가 미형성) - 2010.12.20 삭제 4 : 당일 이론가(최초 거래성립후 종가 미형성) 5 : 스프레드거래에 의해 생성된 월물의 종가 - 2010.12.20 삭제 6 : 조정된 전일 정산가 - 2010.12.20 삭제 7 : 대상자산 종가(이론가없는상품) 8 : 정산기준가격 - 2010.12.20 추가
8,finalsettledprice,9,16,예) 99999999.99999999 
9,finalsettledpricetype,9,1,
10,eot,9,1,%Hff
0,KrxFuturesMarketpriceRecovery,,,
1,datatype,9,2,B2
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,예) 999.99
8,closesttradeprice,9,5,예) 999.99
9,distanttradeprice,9,5,예) 999.99
10,marketpricesign,9,1,
11,marketprice,9,5,예) 999.99
12,highpricesign,9,1,
13,highprice,9,5,예) 999.99
14,lowpricesign,9,1,
15,lowprice,9,5,예) 999.99
16,unsettledamount,9,9,
17,accumtradequantity,9,7,
18,accumtradeamount,9,12,단위:천원; 자릿수 변경(11->12) - 2011.05.23
19,ask1sign,9,1,
20,ask1price,9,5,예) 999.99
21,ask1quantity,9,6,
22,ask1num,9,4,
23,bid1sign,9,1,
24,bid1price,9,5,예) 999.99
25,bid1quantity,9,6,
26,bid1num,9,4,
27,ask2sign,9,1,
28,ask2price,9,5,예) 999.99
29,ask2quantity,9,6,
30,ask2num,9,4,
31,bid2sign,9,1,
32,bid2price,9,5,예) 999.99
33,bid2quantity,9,6,
34,bid2num,9,4,
35,ask3sign,9,1,
36,ask3price,9,5,예) 999.99
37,ask3quantity,9,6,
38,ask3num,9,4,
39,bid3sign,9,1,
40,bid3price,9,5,예) 999.99
41,bid3quantity,9,6,
42,bid3num,9,4,
43,ask4sign,9,1,
44,ask4price,9,5,예) 999.99
45,ask4quantity,9,6,
46,ask4num,9,4,
47,bid4sign,9,1,
48,bid4price,9,5,예) 999.99
49,bid4quantity,9,6,
50,bid4num,9,4,
51,ask5sign,9,1,
52,ask5price,9,5,예) 999.99
53,ask5quantity,9,6,
54,ask5num,9,4,
55,bid5sign,9,1,
56,bid5price,9,5,예) 999.99
57,bid5quantity,9,6,
58,bid5num,9,4,
59,asktotalquantity,9,6,
60,asktotalnum,9,5,
61,bidtotalquantity,9,6,
62,bidtotalnum,9,5,
63,marketstatetype,9,2,*호가가 처리된 장상태 00 : 초기(장개시전) 10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가 40 : 접속 80 : 단위매매체결(주식관련상품) 90 : 거래정지 99 : 장종료
64,marketmanagetype,9,3,
65,expectedpricesign,9,1,단일가매매시만 제공 (장상태구분코드:10;20;30;80)
66,expectedprice,9,5,예) 999.99 단일가매매시만 제공 (장상태구분코드:10;20;30;80)
67,eot,9,1,%Hff
0,KrxFuturesPolling,,,
1,datatype,9,2,I2
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,timestampHHSS,9,4,HHSS
5,mainorbackup,9,2,space
6,filler,9,8,
7,eot,9,1,%Hff
0,KrxFuturesOpenMarketManage,,,
1,datatype,9,2,M4
2,infotype,9,2,01:KOSPI200지수선물
3,markettype,9,1,4
4,timestamp,9,8,
5,marketmanagecode,9,3,*개발가이드 참조
6,stockid,9,10,*개발가이드->상품개발가이드->상품ID 참조
7,krcode,X,12,*개별종목 장운영 조치시 등록
8,seq,9,3,*개별종목 장운영 조치시 등록
9,marketstatecode,9,2,*호가가 처리된 장상태 00 : 초기(장개시전) 10 : 시가단일가 11 : 시가단일가연장 20 : 장중단일가 21 : 장중단일가연장 30 : 종가단일가 40 : 접속 80 : 단위매매체결(주식관련상품) 90 : 거래정지 99 : 장종료
10,eot,9,1,%Hff
0,KrxFuturesClose,,,
1,datatype,9,2,
2,infotype,9,2,
3,markettype,9,1,
4,eot,9,1,
