0,KrxFuturesDesc,,,A0014
25,bid5price,9,5,??) 999.99
26,bid5quantity,9,6,
27,asktotalquantity,9,6,
28,ask1sign,9,1,
29,ask1price,9,5,??) 999.99
30,ask1quantity,9,6,
31,ask2sign,9,1,
32,ask2price,9,5,??) 999.99
33,ask2quantity,9,6,
34,ask3sign,9,1,
35,ask3price,9,5,??) 999.99
36,ask3quantity,9,6,
37,ask4sign,9,1,
38,ask4price,9,5,??) 999.99
39,ask4quantity,9,6,
40,ask5sign,9,1,
41,ask5price,9,5,??) 999.99
42,ask5quantity,9,6,
43,bidtotalvalidnum,9,5,
44,bid1totalvalidnum,9,4,
45,bid2totalvalidnum,9,4,
46,bid3totalvalidnum,9,4,
47,bid4totalvalidnum,9,4,
48,bid5totalvalidnum,9,4,
49,asktotalvalidnum,9,5,
50,ask1totalvalidnum,9,4,
51,ask2totalvalidnum,9,4,
52,ask3totalvalidnum,9,4,
53,ask4totalvalidnum,9,4,
54,ask5totalvalidnum,9,4,
55,eot,9,1,%Hff
0,KrxFuturesSpace,,,G9014
1,datatype,9,2,G9
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,eot,9,1,%Hff
0,KrxFuturesDistribute,,,O6014
1,datatype,9,2,O6
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,distribute_startorend,9,1,1:???а???; 2:????????
7,distributetype,9,1,1:???????; 2:???????; 3:???????; 4:???????
8,distributeendtime,9,8,
9,eot,9,1,%Hff
0,KrxFuturesInvestorData,,,H1014
1,datatype,9,2,H1
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,createdate,9,8,
5,createtime,9,6,
6,investordatatype,9,2,*??????? : 00; ???????? : 01; ??????? : 02 *E1 : ???? ?????? ???; E2 : ??? ?????? ??? ???? record '99' set
7,stockid,9,10,
8,investortype,9,4,*??? '7000'?? ????;??????????? 0???? ????
9,bidsettledquantity,9,9,
10,asksettledquantity,9,9,
11,bidsettledamount,9,18,
12,asksettledamount,9,18,
13,bidspreadedquantity,9,9,
14,askspreadedquantity,9,9,
15,bidspreadedamount,9,18,
16,askspreadedamount,9,18,
17,eot,9,1,%Hff
0,KrxFuturesUnsettled,,,H2014
1,datatype,9,2,H2
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,???? record '999999999999' set
5,seq,9,2,
6,unsettledtype,9,2,"???? ??? : ""M0"" (07:40?а? ????) ???? ???? : ""M1"" (???? ??????????? ???????????; 10??) ???? ??? : ""M2"" (???? ?????? ???;?????? 1?ð??? ????)"
7,tradedate,9,8,
8,unsettledamount,9,9,????:????
9,eot,9,1,%Hff
0,KrxFuturesSettled,,,H3014
1,datatype,9,2,H3
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,???? record '999999999999' set
5,seq,9,2,
6,settledprice,9,16,??) 99999999.99999999 
7,settledpricetype,9,1,0 : ???갡 ????(???? ????????? ?? ????) 1 : ???? ????(???) 2 : ???? ??(???? ????????? ??) - 2010.12.20 ???? 3 : ???? ???갡(???? ????????? ???? ??????) - 2010.12.20 ???? 4 : ???? ??а?(???? ????????? ???? ??????) 5 : ????????????? ???? ?????? ?????? ???? - 2010.12.20 ???? 6 : ?????? ???? ???갡 - 2010.12.20 ???? 7 : ??????? ????(??а????≫??) 8 : ??????????? - 2010.12.20 ???
8,finalsettledprice,9,16,??) 99999999.99999999 
9,finalsettledpricetype,9,1,
10,eot,9,1,%Hff
0,KrxFuturesMarketpriceRecovery,,,B2014
1,datatype,9,2,B2
2,infotype,9,2,01:KOSPI200????????
3,markettype,9,1,4
4,krcode,X,12,
5,seq,9,2,
6,currentpricesign,9,1,
7,currentprice,9,5,??) 999.99
8,closesttradeprice,9,5,??) 999.99
9,distanttradeprice,9,5,??) 999.99
10,marketpricesign,9,1,
11,marketprice,9,5,??) 999.99
12,highpricesign,9,1,
13,highprice,9,5,??) 999.99
14,lowpricesign,9,1,
15,lowprice,9,5,??) 999.99
16,unsettledamount,9,9,
17,accumtradequantity,9,7,
18,accumtradeamount,9,12,????:o??; ????? ????(11->12) - 2011.05.23
19,ask1sign,9,1,
20,ask1price,9,5,??) 999.99
21,ask1quantity,9,6,
22,ask1num,9,4,
23,bid1sign,9,1,
24,bid1price,9,5,??) 999.99
25,bid1quantity,9,6,
26,bid1num,9,4,
27,ask2sign,9,1,
28,ask2price,9,5,??) 999.99
29,ask2quantity,9,6,
30,ask2num,9,4,
31,bid2sign,9,1,
32,bid2price,9,5,??) 999.99
33,bid2quantity,9,6,
34,bid2num,9,4,
